id,title,filtered_words,label
R129,New Report on Election,"new, report, election, sign, entire, paper, test",REAL
R227,New Report on Climate Change,"new, report, climate, change, believe, charge, free, bad, maybe",REAL
F231,Aliens Confirmed by Sources,"aliens, confirmed, sources, begin, dog, like, current, space",FAKE
R066,New Report on Policy,"new, report, policy, ready, claim, ahead, beat, space, military",REAL
F095,Mind Control Confirmed by Sources,"mind, control, confirmed, sources, phone, friend, whole, involve, spring",FAKE
R174,New Report on Policy,"new, report, policy, simply, action, relationship, white, heavy, stand",REAL
R201,New Report on Public Health,"new, report, public, health, environment, agent, song, lead, economic",REAL
R072,New Report on Education,"new, report, education, special, author, price, third, employee, ever.",REAL
R064,New Report on Research,"new, report, research, movie, pass, teach., small, station, contain",REAL
F037,Miracle Drug Confirmed by Sources,"miracle, drug, confirmed, sources, sister, anyone, necessary, center, reason",FAKE
R170,New Report on Technology Breakthrough,"new, report, technology, breakthrough, quickly",REAL
F110,Celebrity Scandal Confirmed by Sources,"celebrity, scandal, confirmed, sources, treatment, general, present, star., feeling",FAKE
F048,Secret Cure Confirmed by Sources,"secret, cure, confirmed, sources, control, event, significant, certainly",FAKE
F082,Hoax Confirmed by Sources,"hoax, confirmed, sources, area, class, conference, party., across",FAKE
F187,Miracle Drug Confirmed by Sources,"miracle, drug, confirmed, sources, reason, answer, everything, thus., every",FAKE
F027,Miracle Drug Confirmed by Sources,"miracle, drug, confirmed, sources, certain, say, agency.",FAKE
F202,Hoax Confirmed by Sources,"hoax, confirmed, sources, later, deep, increase, bill.",FAKE
F197,Secret Cure Confirmed by Sources,"secret, cure, confirmed, sources, information, close, black., accept",FAKE
R128,New Report on Climate Change,"new, report, climate, change, idea, gas, fish, form, movie.",REAL
F157,Government Cover-Up Confirmed by Sources,"government, cover-up, confirmed, sources, rise, business, test, tough",FAKE
F117,Hoax Confirmed by Sources,"hoax, confirmed, sources, air, present, memory, indicate, already",FAKE
F173,Secret Cure Confirmed by Sources,"secret, cure, confirmed, sources, future, religious, forget, company, yet",FAKE
F024,Aliens Confirmed by Sources,"aliens, confirmed, sources, behind, six, consider, main, manage",FAKE
F096,Celebrity Scandal Confirmed by Sources,"celebrity, scandal, confirmed, sources, else, political, fire, soldier, blood",FAKE
R247,New Report on Public Health,"new, report, public, health, necessary, become, see, three, major",REAL
F226,Government Cover-Up Confirmed by Sources,"government, cover-up, confirmed, sources, remember, always, purpose, law.",FAKE
F100,Flat Earth Confirmed by Sources,"flat, earth, confirmed, sources, five, start, change, ready, century.",FAKE
F246,Government Cover-Up Confirmed by Sources,"government, cover-up, confirmed, sources, accept, black, resource, position., deal",FAKE
F183,Aliens Confirmed by Sources,"aliens, confirmed, sources, idea, oil, exactly., heart, across",FAKE
R063,New Report on Policy,"new, report, policy, land, interesting, large, general, image, sound",REAL
R005,New Report on Election,"new, report, election, military, couple, commercial, later",REAL
R084,New Report on Election,"new, report, election, media, act, several, appear, win, environmental",REAL
R124,New Report on Education,"new, report, education, tax, part, hard, ten., experts, discuss",REAL
R118,New Report on Research,"new, report, research, degree, individual, decide, whole, guy, institution",REAL
F001,Aliens Confirmed by Sources,"aliens, confirmed, sources, audience, candidate, high, rise, reality",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"immortal, jellyfish, confirmed, sources, economy, capital, nice, fire, team",FAKE
F046,Mind Control Confirmed by Sources,"mind, control, confirmed, sources, current, chair, discover, his., girl",FAKE
R103,New Report on Research,"new, report, research, peace, sing, remain., human, ability",REAL
R037,New Report on Budget Report,"new, report, budget, report, position, mrs, pattern, join",REAL
F193,Secret Cure Confirmed by Sources,"secret, cure, confirmed, sources, half, floor., edge, coach",FAKE
R166,New Report on Election,"new, report, election, fill, range, special., growth, similar",REAL
F017,Immortal Jellyfish Confirmed by Sources,"immortal, jellyfish, confirmed, sources, chance, value, direction",FAKE
R008,New Report on Economic Growth,"new, report, economic, growth, actually, care, coach, you., according",REAL
F071,Celebrity Scandal Confirmed by Sources,"celebrity, scandal, confirmed, sources, floor, team, occur, example",FAKE
F028,Mind Control Confirmed by Sources,"mind, control, confirmed, sources, war, card, reveal, small, spend.",FAKE
F227,Immortal Jellyfish Confirmed by Sources,"immortal, jellyfish, confirmed, sources, oil, traditional, know, executive",FAKE
R200,New Report on Public Health,"new, report, public, health, kitchen, standard, billion, those., meeting",REAL
R225,New Report on Climate Change,"new, report, climate, change, avoid, list, piece, inside., season",REAL
R062,New Report on Budget Report,"new, report, budget, report, name, past, fish, million.",REAL
