id,filtered_words,features,label_index
R129,"new, report, election, sign, entire, paper, test","(200,[24,90,105,132,156,185,186],[4.137164559405029,3.577548771469606,0.6753425559264385,2.4789364828014966,3.4440173788450834,0.6792718340663283,4.42484663185681])",1.0
R227,"new, report, climate, change, believe, charge, free, bad, maybe","(200,[12,18,21,73,105,133,156,185,187],[4.270695952029551,4.830311739964974,2.5277266469709287,3.5085558999826545,0.6753425559264385,3.125563647726549,3.4440173788450834,0.6792718340663283,2.579019941358479])",1.0
F231,"aliens, confirmed, sources, begin, dog, like, current, space","(200,[23,50,113,130,164,188,189],[0.6714286566053024,2.7826188965997183,3.5085558999826545,2.366458499374806,3.4440173788450834,1.2813139958770972,3.0811118851557153])",0.0
R066,"new, report, policy, ready, claim, ahead, beat, space, military","(200,[68,77,105,137,142,157,169,185,188],[3.4440173788450834,3.914021008090819,0.6753425559264385,3.7316994512968646,2.4324164671666035,3.2721671219184243,4.607168188650764,0.6792718340663283,0.6406569979385486])",1.0
F095,"mind, control, confirmed, sources, phone, friend, whole, involve, spring","(200,[8,23,26,27,44,71,88,184,188],[2.5277266469709287,0.6714286566053024,3.2208738275308737,3.914021008090819,3.2721671219184243,3.5085558999826545,3.3262343431887,2.5530444549552183,0.6406569979385486])",0.0
R174,"new, report, policy, simply, action, relationship, white, heavy, stand","(200,[33,42,43,60,86,105,142,149,185],[3.2208738275308737,3.577548771469606,3.0385522707369192,2.8844015909096608,2.4789364828014966,0.6753425559264385,2.4324164671666035,4.137164559405029,0.6792718340663283])",1.0
R201,"new, report, public, health, environment, agent, song, lead, economic","(200,[5,7,16,105,144,150,156,170,185],[2.920769235080536,3.7316994512968646,3.2721671219184243,0.6753425559264385,2.324785802974238,3.0811118851557153,3.4440173788450834,2.849310271098391,0.6792718340663283])",1.0
R072,"new, report, education, special, author, price, third, employee, ever.","(200,[4,55,105,130,138,148,150,171,185],[3.3262343431887,3.2721671219184243,0.6753425559264385,2.366458499374806,4.270695952029551,3.2208738275308737,3.0811118851557153,3.914021008090819,0.6792718340663283])",1.0
R064,"new, report, research, movie, pass, teach., small, station, contain","(200,[15,22,32,39,59,93,105,185,192],[3.3262343431887,3.6516567436233283,2.7508701982851385,5.117993812416755,2.6902455764687034,3.0385522707369192,0.6753425559264385,0.6792718340663283,3.6516567436233283])",1.0
F037,"miracle, drug, confirmed, sources, sister, anyone, necessary, center, reason","(200,[23,56,60,66,80,121,144,179,188],[0.6714286566053024,2.8844015909096608,2.8844015909096608,2.38796470459577,4.019381523748645,2.6330871626287546,2.324785802974238,3.5085558999826545,0.6406569979385486])",0.0
R170,"new, report, technology, breakthrough, quickly","(200,[20,81,105,185,191],[2.579019941358479,2.2276220545205905,0.6753425559264385,0.6792718340663283,2.324785802974238])",1.0
F110,"celebrity, scandal, confirmed, sources, treatment, general, present, star., feeling","(200,[13,15,23,65,86,97,121,130,188],[2.4789364828014966,3.3262343431887,0.6714286566053024,4.42484663185681,2.4789364828014966,3.172083663361442,2.6330871626287546,2.366458499374806,0.6406569979385486])",0.0
F048,"secret, cure, confirmed, sources, control, event, significant, certainly","(200,[8,23,73,92,128,147,152,188],[2.5277266469709287,0.6714286566053024,3.5085558999826545,2.345405090176974,2.7826188965997183,2.324785802974238,3.7316994512968646,0.6406569979385486])",0.0
F082,"hoax, confirmed, sources, area, class, conference, party., across","(200,[1,7,23,49,57,74,177,188],[4.270695952029551,3.7316994512968646,0.6714286566053024,3.5085558999826545,3.383392757028649,4.019381523748645,2.4789364828014966,0.6406569979385486])",0.0
F187,"miracle, drug, confirmed, sources, reason, answer, everything, thus., every","(200,[19,23,49,56,60,81,144,156,188],[3.5085558999826545,0.6714286566053024,3.5085558999826545,2.8844015909096608,2.8844015909096608,2.2276220545205905,2.324785802974238,3.4440173788450834,0.6406569979385486])",0.0
F027,"miracle, drug, confirmed, sources, certain, say, agency.","(200,[23,51,56,60,62,88,188],[0.6714286566053024,3.914021008090819,2.8844015909096608,2.8844015909096608,3.7316994512968646,3.3262343431887,0.6406569979385486])",0.0
F202,"hoax, confirmed, sources, later, deep, increase, bill.","(200,[4,23,160,162,163,177,188],[3.3262343431887,0.6714286566053024,3.6516567436233283,4.42484663185681,3.914021008090819,2.4789364828014966,0.6406569979385486])",0.0
F197,"secret, cure, confirmed, sources, information, close, black., accept","(200,[11,23,57,92,97,147,188,190],[3.3262343431887,0.6714286566053024,3.383392757028649,2.345405090176974,3.172083663361442,2.324785802974238,0.6406569979385486,3.3262343431887])",0.0
R128,"new, report, climate, change, idea, gas, fish, form, movie.","(200,[7,21,105,115,158,176,185,187],[3.7316994512968646,5.0554532939418575,0.6753425559264385,3.3262343431887,3.125563647726549,3.6516567436233283,0.6792718340663283,2.579019941358479])",1.0
F157,"government, cover-up, confirmed, sources, rise, business, test, tough","(200,[13,16,23,47,59,174,186,188],[2.4789364828014966,3.2721671219184243,0.6714286566053024,2.849310271098391,2.6902455764687034,3.577548771469606,4.42484663185681,0.6406569979385486])",0.0
F117,"hoax, confirmed, sources, air, present, memory, indicate, already","(200,[23,85,88,130,141,177,188,194],[0.6714286566053024,3.3262343431887,3.3262343431887,2.366458499374806,3.172083663361442,2.4789364828014966,0.6406569979385486,3.914021008090819])",0.0
F173,"secret, cure, confirmed, sources, future, religious, forget, company, yet","(200,[23,37,88,92,93,142,146,147,188],[0.6714286566053024,4.42484663185681,3.3262343431887,2.345405090176974,3.0385522707369192,2.4324164671666035,3.0385522707369192,2.324785802974238,0.6406569979385486])",0.0
F024,"aliens, confirmed, sources, behind, six, consider, main, manage","(200,[1,23,37,50,83,112,146,188],[4.270695952029551,0.6714286566053024,4.42484663185681,2.7826188965997183,3.3262343431887,2.997730276216664,3.0385522707369192,0.6406569979385486])",0.0
